review,emotion_label
My husband loved his t-shirt.It has washed well.Thank you,0
"Anything I have had a problem with has been addressed promptly. I appreciate the urgency with any questions, returns, etc. Thanks guy!",0
"The items I ordered were not what I expected at all in regards to sizing.My selection was based off TeePublic's sizing chart.I understand you have a 'no return' policy.However, I did request an exception as I am a first time customer and your sizing chart is very unclear.I am extremely disappointed I have received NO response back at all.I will definitely not be ordering from your company again nor will I recommend you AT ALL!",3
Love the tshirt I ordered for my husband. It was delivered quickly and is good quality. Thanks!,0
So pleased.Just what I was looking for.Perfect.Thank you,0
"My sons love their new Piggy shirts. I think they are cut small and wish I had gotten bigger sizes, but other than that they are perfect and they arrived Before Christmas! I was worried but they came on Christmas Eve! I reached out to customer service and got an immediate response about the ETA. I was pleased. Thank you and Happy New Year!!",0
My whole order was a gift for my husband and he loved all of them! Fit is great. Printing is great. Zero complaints. Thank you!,0
Right motif on T-shirt for my grandson���������s birthday of panda eating ramen but Wrong Color! I ordered hot pink and received a very light pastel pink. Not OK,4
Underimpressed with the final product.The iron on is not very sharp.It looks cheap and small.,3
"I have bought about 20 shirts from teepublic, I'm happy with them. I bought 2 for my niece and they where smaller than I expected with the sizing, I sent an email to them about it and the next day they sent out 2 replacement shirts in a bigger size. I will buy from them again.",1
Product is great quality. Easy to order. Received quickly. Notification of when shipped was helpful. Thanks.,0
"The Science Olympiad stickers were fine.The Science Olympiad face masks are of very poor quality, especially for the price. Plus you can't really read ""Science Olympiad"" when the face mask is worn. Disappointed!",3
It was great thanks,0
They help for my order was soo very cool! Thank u for handling it soo quickly n in time for Christmas! Will def be shopping here again!!,0
"Very happy with my t-shirts! Great, soft, comfortable material. Fits really well. Plus, delivery was way quicker than I thought it���������d be! I���������m in Australia and I got mine within a week with standard ",1
"Very quick and prompt received package quickly.Good quality exactly what I ordered. thanks,",0
"I loved the designs I chose for the face masks, but was unaware that because of the pleats in the design, some of the verbiage is unable to be read (tucks under my chin.) Also, the elastic came unsewn on one mask before I'd even worn it. I was a little disappointed.",3
Everything was perfect with my order. The hoodie came exactly when it said it would be delivered and it���������s a perfect fit.,6
The product is high quality.Very fast turn around from order.I ordered a family crest Tshirt for a gift for my grandson.I know he will be extremely happy.,1
I loved my tees. Thank you,0
"I ordered a black hoodie and I received an ugly brown hoodie instead. When I sent pictures of the product, I was told that colors inevitably fade in transit. I have never heard of that.I was then sent a dark grey sweatshirt which is still the same ugly shade of brown. Very dissatisfied.",3
Fantastic service and products. Thank you.,0
I love this phone case and I know my son will too.It is a gift for him.It arrived very fast!Thank you!!,0
Order for my Hubby he loves it��������� fit just right on him soft materials and the tanks are perfect for summer. Thank You will order more��,0
The quality of the fabric and print applied were excellent.Exactly as I was hoping.Thank you.,0
A little disappointed with the quality of this shirt. Material was quite thin and graphics look worn already. Too expensive for what it was,3
The onesie arrived this week and it looks like the correct one and good quality.I am satisfied with this purchase.Thank you,0
The only site that had the tuba patent design. Thanks. *****,0
Thank you tee public and the artist who made my shirt I love it !!! Will be ordering again,0
I am very pleased with the quality of the products which I ordered. Thank you for providing a great product.,0
Have not received all of my order and contact information to this company doesnt work.Got a response from this review and resending my order. Thank you.,0
Irecentlyreceived myDonna summer shirtIabsolutely love it though it'sabitpriceyI'dgladlybuyfrom you in the future thanks again,0
"Easy to order, true to size, nice soft tee shirts. Sent free thank you stickers! Happy with our order.",0
Excellent t shirt. Thanks,0
Very happy with a speedy delivery of the items that I ordered. Sizing was true. Designs as expected.,1
"Thank you so much I love it!!!! Came in great condition, fast shipping, and as described.",0
Received my package before Christmas so I was happy.I sent an email because I couldn���������t track the package.I received a response right away.The person was very nice.Ev,1
Itruly lovemy new shirt. It fits perfectly fine and it is made very well. The message on the front is perfect.iwiil definitely get more shirts from this company if they come up withmore outlander slogans. The price is very reasonable. Thank you. I am now off to find the circle of stones.,0
"My first order was flawless. However, my second order was not. My order was split into two separate shipments which was an additional charge that I didn't know about until my order was complete and I saw the price difference. Then I got my shirts and one of them was less than stellar. It looked like it had been washed several times before sent out and that was disappointing. The print wasn't clear. Overall, the shipping was fast and I got all of my items. So, I'm willing to purchase again because I like the various designs.",3
"I had a sizing problem with my order. Eliza, your representative, was extremely helpful and made my order correct.This was done so quickly that I have to give a giant Shout-Out of ""Hurray!"" for TeePublic and it's reps!!I will be doing more business with your organization.Thank-you, John Carman",0
"I had ordered a shirt to wear to a concert.When it arrived it was extremely small, and a big thread was hanging out of arm seam.I wrote Tee Public,right away I was offered a replacement.when I explained my concert was the following week they expedited my order.I had it in time, along with many compliments.thank you for your wonderful customer service!",0
"I recently had a complaint about 2 hoodies I ordered with faded print . I reached out to customer service and they helped me every step of the way to fix my problem. I was met with an email everyday by a different person from customer service , Jon , Sandy and Ingrid . Might be a couple more I���������m missing . Thank you to the whole time communicating with me swiftly and with so much compassion and empathy toward me . I will continue to purchase orders for Teepublic and support all of the great independent artist . Thanks again . Awsome way above averagecustomer service team����������",0
Awesome !! Thank you so much for all your help. Excellent communication.Thank you,0
Ordered the tshirt for my son. He loves it! Fits good & seems to be made well. Thanks!,0
"I had to comment on the customer satisfaction survey because I'm a satisfied customer. Ordering was easy, I was promptly notified of both my order confirmation and my shipping / delivery status and all items arrived in a timely manner. And the items received are quality merchandise. I thank you, Tee Public.",0
Nice selection of t - shirts and the price is great bought 3 thanks cb,0
Fast shipping and great t-shirt design. The fitting was perfect!!! Thank you.,0
"Blotchy art on the shirt. There are white specks all over the designs. WOW. Very frustrating. The art on the website looks sharp, but the shirts look like the ink on the printer was running out.",5
"Cool shirt! It was exactly what I thought I was ordering. The process was smooth and fun too. I liked knowing some of my money went to a small business artisan, rather than all to a big megacorp.",1
We love the tee shirts and thank you!The xl woman's shirt is very small though.It fits me like a size medium would.I really would have like it to be extra large!!,0
Item arrived as described and the recipient was delighted.,1
"I ordered matching shirts for myself and my best friend who is 900 miles away. I received my shirt and my friend initially did not, which was disappointing and upsetting. When I reached out for help, I received a speedy, personal reply. The staff were able to correct the issue and my friend received her shirt within the week!",3
The shirt fit very well the material is comfortable I will order again maybe in a different color maybe something different and very happy,1
Awesome tee. Arrived quickly. Thank you.,0
The design was great.I gave it to a sick person and to see her face light up was wonderful.Thank you so much,0
The shirts I received were made beautifully thank you,0
"I was very happy with this company and product. The delivery was fast and they kept me well informed on the progress of my order. The tshirt is cute and fits well. It's Creme and more see through than I like, but is very comfortable.Thank you.",0
"Sent PORT CLINTON, OH long sleeved, dark green T-shirt to my long lost cousin who lived there as a kid! He loved it! Thanks for creating it!",0
Very pleased thank tou,0
The shirt I ordered was in stock and shipped very promptly.Thanks!,0
Item just as described. Thank you for making speedy deliveries during this ongoing pandemic.,0
"Didn���������t really like the shirts , they look very very cheap .. no",4
It was so easy to order..Such prompt responses.Everything was as perfect when I received it in person.It didn���������t take forever to receive!Thank y,0
"So happy with my shirt, definitely going to order more.",1
The shirt came quickly and it is my son's new fave shirt. He receives compliments wherever we go. Thank you!,0
"When I received the t-shirts I was appalled at the comment on them that said ""The man who killed Don Quixote"" thinking I bought a simple ""Don Quixote"" t-shirt.....""I"" made the mistake when I checked your website but since I am a ""Don Quixote"" lover I'm disappointed....I know it's not your fault but do you know where I can get plain ""Don Quixote"" t-shirts.......?-GB",3
"My husband loved his gifted t-shirts, and I had a great shopping experience. Thank you!",0
"Great quality shirts, thank you!",0
"Tee shirt was a little snug for the sizing.Contacted the Customer Service department and they took care of the issue in yeoman's fashion.Great folks to do business with, thank you.",0
Material is great. The printing of the shirt was amazing so thank you so much. It actually came in just in time since it was a gift for someone.,0
"Purchased 2 Monster Truck T's for Grandson, very good quality and true to size.Grandson loves them!! He's happy, so I'm happy. Very timely make, ship & delivery. 5-8 business days.",1
We love our Wings of Fire shirts that we ordered from TeePublic.The sizes were as expected and the colors and the art were just what we wanted.They also arrived in a reasonable amount of time.Thanks!,0
My experience with Teepublic was very easy and smooth the search tool was nice you can sort the items by category or key words so I was able to find exactly what I wanted. The delivery was a little late but I would put the responsibility on the delivery service not Teepublic so much. I will definitely be using the site again,6
I like the shirt. Thought the colors might have been brighter. In the add on the web page they look brighter.But I am very happy with it. Thank you,0
"I hate to leave a bad review but the quality of the shirt I received was really subpar. The cotton shirt itself is fine, but the print on there (the whole reason for ordering it) is horribly fuzzy and pixelated... basically the small thumbnail image got blown up bigger without any attempt at increasing the resolution, to the point where the lack of definition on the font almost makes it unreadable against the background image. Really disappointed by this purchase.",3
"Happy with shirts, shirts fit and feel good.",1
"Perfect and fast delivery, twice!Next order will come soon. Thanks a lot����",0
The mask was made way too small for a gown man. One extra inch of elastic would have done wonders.They barely fit my kids ears.Nice print though...Overall pretty disappointed.Jeff from Vt,3
Sadly my t-shirt was too small. I received a quick response from your customer service rep. A larger shirt is on its way to me with minimum hassle. Wonderful experience! Thanks to all!,0
Products exactly as shown and made expertly. Would definitely recommended and buy again.,6
"love the shirt it was just the one I was looking for at a great price, will for sure do more business.Thank You S Valenzuela",0
"Excellent, soft T-shirt that looks exactly like the picture!Very happy!",1
"Excellent t shirts, I am very happy with my order, thank you.",0
Thank you so much.Bought as Xmas gift for my boyfriend very nice quality.,0
It was what i expected the shirt would look like.It is execellent quality work and i look forward too wearing it thank you.,0
My granddaughter loves the tshirt. Thank you.,0
"The tee shirt from Bestwid titled Funny Pomeranian Cute Doge Owner Gift T-shirt was disappointing in that the colors are very faded compared to what is pictured on your website.Am not going through the process to return; it is for our granddaughter and she will probably love it.But am wondering what it will look like after a few washings.For the price, I think the product is just okay.",3
"My product was delivered in a reasonable amount of time, carefully packaged, arrive in perfect condition, and exactly as pictured/expected. Perfect transaction. Thanks!",0
"The item arrived sooner than expected, thank you.",0
The tees were as shown so that was good. Took around 2-3weeks a little over average. the actual shirt minus design quality could be better but even that wasn���������t bad. Only one print was minutely fuzzy. I bought 4 shirts I���������m being extra critical cuz all in all I���������m very happy.Honest opinion they have i,1
I never received my t shirt even though I was notified that it had been delivered.I would appreciate a full refund.,0
Very pleased with purchases. I wish the images were bigger and covered more of the shirts.I love my Speed Racer stickers. There is ink spots on my Psalms 91 shirt. Is there a way I could get another shirt? Otherwise I am pleased with my purchases. I love your 5X Shirts. Thank you for your service and products.,0
Every shirt that I purchased shrunk beyond anything I have ever seen after washing in cold water.The size charts are not true to size.I bought roughly 12 shirts as gifts and they cannot be worn as they don���������t fit.Very disappointing and will no,3
"Hi!Our order of seven t shirts went very well! Our son loved to pick out the cool graphics, and color of shirts. The quality is excellent, and customer service is always great as well. He also likes supporting artists! We definitely recommend this company. Thank you!",0
"All the t-shirts are terrific, and from 4 different artists.Thank you for standing by your excellent team of artisans. This was a second order and there will be more.",0
Thank you so much for the fast services and quality merchandise.,0
Thanks teepublic I choose Monarca designs love the quality of the shirt very soft and right to the size.,0
Provided Quick Delivery and Great Sweatshirts!! Thanks!!!,0
I was so happy to get my buttons just a few days after ordering! I���������ve gotten some favorable comments and I recommend that they ord,1
My grandson was very happy!,1
"I've placed three orders at TeePublic, what a big mistake!Don't trust the images of the website, what you're receiving is much different.The quality of the images transferred to sweatshirts is poor, colours are dull and transfers are not resistant to washing.I sent several e-mails to their customer service requesting refund or how to send them items back, and I still await for their reply.What you're receiving doesn't match what's shown on their website.I do not recommend this website, you will lose money, trust me!",4
Loved it thank you very much fits perfectly,0
the product was great and the service was even better thanks a lot,0
"Product was supposed to arrive with plenty of time before Christmas. Never arrived, they resent and the shirts that came although great design, both shirts said Kelly Green and they were two different colors. Highly disappointed as they look so different you cannot say they are matching.",3
Found a t-shirt with name of famous climb in the French Alps.Ordered it and it was delivered a week later.Was what I expected and delivered as promised.The recipient was very happy to receive.,1
"Usually, orders take a really long time to get them finished & on their way. This time, that was not the case! Thank you for your prompt service!",0
"I bought this hoodie for my 8 year old cousin's birthday and I am disappointed in the outcome. For one it took quite awhile to come in, the material is very thin and too expensive for the quality that I paid for... The design itself looks like it's just randomly place on the shirt. I expected awesome and good quality products, however I would never buy from this website again.",3
Great quality and fit perfect. The art not to mention it's stratospheric ;) Also the shipping was fast. Thanks!,0
I absolutely loved my shirt !!!! Thank you so much,0
My order was delivered in a timely manner and the size suggestion was right on.Thank you!,0
I purchased this the shirt for my daughter and she loves it. Thank you again!!,0
Order received quickly and the work done was beautiful. Thanks.,0
"I would like to thank everyone for understanding and help, I appreciate everything. I received the shirt today and my granddaughter is going to love it. Thanks Linda",0
Arrived and fit as expected. Shipping was slightly delayed but the tracker worked perfectly so I knew where my package was at all times. Super comfortable and I'll definitely be ordering again!,6
"I was very pleased with the product! The turn around was slower than we would like.Overall will use you again,Thank you!",0
Thanks for the fast shipping.Quality of the shirts was very good.Will purchase more in the future.Thanks again.,0
Thank you!!! So much love the T-shirts!!,0
Love both designs on my shirts but they came with such a strong odor to them. Not sure which shirt or if it was both but was really disappointing.,3
"I ordered a novelty t-shirt for my husband for father's day. While it didn't arrive in time (not Tee Public's fault), it was still a hit. Really soft material, fit well and the design was perfect.Thanks Tee Public!!",0
Hello this is Glenn Jones and I'm pleased to say that I got my shirt and now I'm waiting for my tote bag and my subway shirt. you have done a remarkable job on my shirt and I am just so pleased and I thank you so very much.,0
HEY YOU GUYS! Again thank you this is going to be the perfect gift. The day they do decide to open it will more than likely be great lol,0
I purchased 4 different shirts and a sweatshirt. They were all good quality and very nice looking designs. I am very happy with teepublic and would purchase here again.,1
"Exactly what I ordered, delivered fast as well.",6
Amazing shirts and thank you for carrying large sizes,0
"The tshirt material was thin, see through and of poor quality. I selected a soft tshirt, and a regular quality. I didn't think tegular was so cheap. The large seemed stretched out. I will not purchase again.",4
Too small. We can't use it,4
Great choices and great products. I do hope that you as a company work to protect the artist and their original work. Thanks!,0
"Exactly what I ordered, came quick and was good quality at a very cheap price",6
Thank you. Excellent product,0
"Customer service is excellent.The post office misplaced my order.I asked Tee Public if they could help out, they did at no charge! I got my order in time for Christmas. The tee shirt designswere great.Thanks so much. I will be ordering again.",0
"Took forever to ship, and the print on the shirt isn't the best quality..",4
"Awesome selection, great quality and prompt shipment.I've ordered several times and been pleased each time.Thanks TeePublic!",0
Size is correct which is rare for XXXL sizes. True colors,6
"Great experience, first time I've actually had my products delivered on time and everything they said all the way down to the tracking was honest and true. I will be going through this company for everything that I require, that they have to distribute. Thanks Tee Public!! ����",0
We got the shirt on time and the quality is great.Keep up and good luck. Thank you,0
Very happy customer of TeePublic,1
I was happy with the quality of the shirts ordered.A size problem with one of the shirts was also handled promptly.,1
Way beyond excellent customer service I will always use your fine company in the future Thank you,0
"Shirt looks very good, just like past orders. Great place to get personal customized gifts. Service was very quick also. Thanks Tee Public.",0
"I enjoy the designs and items offered. However, shipping is slow and expensive. Not worth the higher price and longer wait.",1
Very nice looking shirt.Thank you.,0
"Size small is like Extra small! $6.99 slow shipping, it took 8 days before i got my shirt. 3 stars for the cute plastic packaging. Thank you.",0
"Price is fair, quality is good.",6
I received my long-sleeved t-shirt from TeePublic the other day & it's wonderful!! The shirt itself fits well & of good quality! The design I chose came out well- vibrant colors & centered perfectly. I hope to get many hours of wear in it & it washed well!!Thank you for all the designs you offer- I knew which one I wanted as soon as I saw it! Thank you so very much for being out there for me!! Happy New Year,0
"Sirs ��������� I wrote you 4 Nov 22.In case you did not receive it here it is briefly.All the printing on the pin cannot be seen at all.You have dark letters and something dark in the center and numbers on a dark background.I have no idea what the person was thinking who designed it because it was poorly done.I was very disappointed with it, however, since I paid for it, I will keep it, but I will not purchase in the future anything else from you because I cannot trust the designer knows what they are doing.I do not like wasting money.This was a waste.I",3
Anime lover and Manga lover my brother is so I wanted to look for a few shirts and found this awesome site I'm glad I'm able to help out a artist out there! It was for a birthday and my brother loved the shirts he wears them almost everyday thank you for the happiness and joy you brought upon my brother anime and manga shirts are the best! I will comeback and purchase some for me!,0
Goods are as described and arrived as organised. My expectations were met and the communication was satisfactory,6
The shirts I ordered were exactly as advertised. The sizing was accurate and they even had models for the different sizes which was very helpful. I will likely order from TeePublic again in the future.,6
"Order came fast, quality is great.Thank you !",0
"IThe t-shirt is exactly as described. Material is of good quality, and the sizing is correct. Reasonable price",6
"Our package was lost in the mail during our move.We contacted TeePublic and they were extremely helpful from the get go, and got a replacement order in asap.We received our replacement lightning fast.TeePublic has made us very happy...and the tapestry is awesome!!",1
"You sent me my package on time after USPS sent me a text wanting my card information for $.09 and sending me into panic mode, again thank you for you tracking system, Iwish USPS could have better service. Again I do apologize. Your product is great. It would have been nice to talk to someone on the phone. Thank you.",0
"I purchased a shirt as a gift for a friend.Upon receiving it I open the package to look at the shirt, the shirt was super soft the image on the T-shirt was fantastic!I will definitely make purchases in the future.Thank you for a job well done!",0
"Great price, great quality, shipping was quick, and the subject of my shirts was a great find for a great price. Will definitely be ordering from you again. Thank you!",0
It came in a reasonable amount of time and is exactly what I ordered!,6
To whom it may concern:I received the wrong mask. I've since submitted a service request & I'm hoping to received the correct mask. Thank you.,0
Perfect! Thank you so very much! They even arrived before Christmas!,0
"Design printing came severely flawed with portions of the print missing. If TeePublic was doing business in a store, this shirt would have never passed inspection. I contacted TeePublic with a photo for a resolution. I was offered a remake but 10 days later there is still no delivery date for this Christmas party shirt. I was very disappointed due to the cost and poor quality and customer service. I will not do business and do not recommend this business.",3
Thank you TeePublic. I made a mistakeon my order and it was fixed no problem.,0
Exactly what i ordered! Couldn't be happier! This is a Christmas gift that I know my mom will love. Thank you so much!!!,0
Well I was going to cancel my order because I hadn't received it after trying to track it from UPS to my post office and neither had my order after days of tracking I took a chance and contacted your help center to get a refund and explained my problem to Alex and he was very helpful and kind after he said he would give me a refund and also let me know he could put in a reorder and ship it through a different company if I wanted. I agreed to do that because after all it was a Christmas gift and TeePublic was the only place I found them. I now can wrap them up and put them under the tree.Thanks to Alex and TeePublic for all their help. I think Alex should get a raise for going above and beyond to help this old woman have a great Christmas. Thanks again.,0
Poor quality for the price. Print of the eagle was very poor,3
Love it! Finally found a Zuko shirt my son's size. Thank you for doing toddler sizes! My son is obsessed with Firelord Zuko but I could not find anything for a 4 yr old.,0
Merry Christmas.I would like to thank you all for going the extra mile in providing me with good customer service.Remember Idon't mind paying for quality and good service.,0
I definitely recommend this company to anyone!!!,6
The shirt was better then expected and the shipping was also quicker than expected I am very happy with the shirt,1
Absolutely loved the poster and t shirt!! Just what I wanted. Thank you for your good work�����������,0
Too small. Not accurate sizing.,4
"Bought a tee shirt for my 6 year old grandson, he picked it out, we were looking online together and he saw this one and WANTED IT!!!No other one, just this one, an AJ Brown inspired design.A very nice product and it shipped on time and I received it in time to have it for my grandson for Christmas.Very happy to have an original designed tee shirt that's just what my grandson wanted.",1
Thank you so much. The tees fit perfectly and delivery was excellent.,0
I got my order and it was what I expected.Thank you.,0
I have ordered from here multiple times and have always been happy with my purchase. The one time I ordered the wrong size and they made it right with no questions asked. I will definitely be purchasing from them again.,1
Everything is perfect! Thank you!,0
"I purchased 4 shirts for an upcoming trip to Disney.Love the designs, but the execution and final product need some work.Depending on the shirt, mediums and larges typically fit me.The 4 that I purchased were a size large based on the sizing chart that had a picture of someone of similar size and build to me.Well, that's way off.One of the 4 shirts fit like the sizing chart indicates and all 4 fit differently and appear to be different lengths.Two of the shirts are the length of XL.Both of those also have printing issues.One has visible vertical lines across the image.The other has a very faded, almost blurry image while the picture on line shows a sharp and crisp image.So one of the shirts fits great, one is ok, and two are terrible.This purchase was disappointing to say the least.",3
"I ordered 2 Tee's. One for myself and 1 for my husband. The shipping was kinda of slow( I was aware that it would be). When the shirts arrived we both love them. Perfect in every way. The fit, the art, the material. I would not change a thing. I was kinda of wary of ordering because I have ordered from other places where the sizes are wonky. These are perfect. Thank you",0
The design of Banjo & Kazooie is amazing and spot on for a Smash Bros. setup. I love everything about this. Thank you so much.,0
"We like the hoodie and are, overall, happy with the product. I was disappointed with the transfer of the art to the material. The lack of definition is disappointing because you cannot read the text which makes up the art. Without being able to read the text, the true power and impact of the art is lost.",3
Love it! Thank you!,0
"Items arrived sooner than offered, quality of materials are great, stickers amazing too, highly recommended. Thanks for a great delivery, thanks!",0
"Very disappointed. The art work is good, however the print is significantly smaller than what was advertised, I would say by 50 percent at least. ALSO I ordered a men's medium and it's the size of an extra small, which barely fits and makes the print seem even smaller",3
My son loves his shirt! He had the biggest smile on his face all day! Thanks!,0
"Thank you so much! I love your t shirts, very good quality and you can always find what you are looking for and then some.",0
Order arrived very quickly and communicated very well with tracking info. First time ordering and wasnt sure what to expect but very happy!,1
"Replaced item, no questions asked. Thanks!",0
It doesn't look like the picture on the web sight.,4
Fabulous service! Loved my tee & the speedy service too! Many thanks & would highly recommend ����,0
... just got the shirt and I'm quite happy with it.The art work is 1st rate and the quality of the shirt is fine !I tried it on and it is a good fit.,1
the shirts wre nice! thanks so much!,0
I love my t-shirt! The fit is perfect. The colors of the print are vibrant. The print and shirt are both good quality. I am one satisfied customer! Thanks!,0
These t-shirts have allowed me to go back in time and remember happy times. And I���������m able to share those memor,1
Items came as ordered. Very happy with my purchases.,1
Very happy with product. When I inquired why it was taking so long I was refunded the shipping.,1
"Love my latest purchase. Waited a little bit for it to ship, but totally understand with whats going on right now. Thank you!",0
My print on the shirt is good but I dont like the size option for women.2 XL they recommend is too big.Hopefully they will change because I don't like the man option either.,4
T shirt is extremely small and under sized. The print on it isn���������t the best quality either. N,4
Excellent customer service!I accidentally ordered the wrong size for an item that was a gift.I was prepared to pay for the new item.They replaced the product without question.I so appreciated it!Thanks!,0
"TeePublic's service is great.I ordered easily online, and received my shirt in days.The four star rating is because I was a little disappointed in the quality of the shirt itself.I ordered the correct size, which looks short to me, but I am going to go with is since I don't have time to order another gift.Next time I will order up a size. Overall, I was satisfied.",3
Item was just as described and fast shipment. My husband will LOVE this shirt. Thank you and Merry Christmas.,0
Nice job...I have looked for a very specific unique Stoic quote...Your site finished my quest....Thank you !!,0
Honest company- everything arrived just like it was ordered.,6
"They dropped the ball on my initial order but made it up to me by getting it to me by Christmas Eve - thanks Teepublic customer service! As always, the shirts are great and a big hit in my family. Will definitely order again.",0
"My 12 year old saw some Bluey pajamasin a department store and ask why they only went to 5T. I told her they were for little children.She said, ""But I love Bluey, I wish they had my size."" I searched and found your website and was so thrilled to find the perfect Bluey tee in her size. Ordered the ""I slipped on my beans"" small men'sin teal.Thank you,so much. She loves it!",0
"Ordered 3 graphic tees for my husband for Christmas. Looked great when they arrived. He loved the gift- until he tried them on. Apparently these run small. We contacted customer service. They rushed out replacements the next size up, no problem. Husband is happy. ����",1
Absolutely amazing service! I ordered the wrong size. Easy to contact and understood my problem and fixed right away. Will be ordering from them again for sure!! Thank you!!,0
WHAT I RECEIVED WHAT NOT WHAT I ORDERED.I ORDERED FESTIVUS FOR THE REST OF US AND GOT HAPPY FESTIVUS.THE PRINTING WAS AWFUL AND THE QUALITY OF THE TEE SHIRT WAS JUNK. THANKS FOR NOTHING,0
"I am so thankful for the workers, my order got stolen but then was replaced for free and I'm so happy because it looks amazing and feels just perfect",1
Absolutely love the shirts ordered for my 12 year old. They have been washed a few times so far and the graphics still look brand new. Thank you!,0
Purchased a Jeopardy! long-sleeved t-shirt for my 87 year old step-father as he LOVES to watch the program.He wants to wear it constantly and is proud of it as well.The quality and design of the shirt is perfect.I highly recommend to anyone to purchase from TeePublic.Thank you very much!,0
"The logos are great but one was on crooked and the quality of the tee shirts is disappointing. The fabric is very cheap looking, thin and the black is faded and makes the shirts look old.",3
Great quality t shirt and print thank you,0
Delivery was very quick. These shirts were a gift. I think she will be very happy with them,1
"You had several prints, and it was hard to pick just one. I'll be back for sure.",6
Shirt is awesome and came timely and pricing is fair and perfect! Will be ordering again! Thanks a bunch,0
Shirt exactly as described- received it one day early. Very pleased. Thank you!,0
"my daughter LOVED the sweatshirt! great quality, design, and she said it felt super soft inside. thank you!",0
Sizing not accurate. I ordered women���������s L and it would likely only fit a,4
"Fast, clear impressions, sizes are true...I�������",6
"Designs are great,The quality of the Bowie is to the premium standard that I paid for.The Gabriel and Gallagher shirts are not, in my estimation, premium quality.I am disappointed that they decided that is was.",3
"Was pleased with my order,my sister ad I wore them Sunday celebrating our Mother,s 97th birthday. The shirts were a hit. Will be shopping with you soon.It does not always happen so good!! Thanks",0
"I'm an 82 year old semi-retiree. I ordered my t-shirt ""I love the skin I'm in,"" and I've gotten several compliments. I wore it to work (I teach English to teenage boys in detention) and all of them loved the shirt. I'm on summer break now but I'm gonna order a couple more in different colors.Thanks for making my day!",0
